City Name,Country,Longitude,Latitude,Temperature,Humidity,Wind Speed,Cloudiness,Date
sharjah,AE,55.4,25.36,77.0,64,3.36,0,1603231306
hermanus,ZA,19.23,-34.42,46.0,91,2.84,0,1603231221
mataura,NZ,168.86,-46.19,53.01,69,7.0,36,1603231212
shingu,JP,135.98,33.73,61.27,76,9.46,39,1603231222
ushuaia,AR,-68.3,-54.8,44.6,68,13.87,75,1603231099
nikolskoye,RU,30.79,59.7,34.0,93,4.47,40,1603231259
bluff,NZ,168.33,-46.6,53.01,67,7.0,57,1603231030
coquimbo,CL,-71.34,-29.95,57.2,82,13.87,75,1603231234
kaeo,NZ,173.78,-35.1,66.0,79,5.01,100,1603231307
kapaa,US,-159.32,22.08,75.2,88,9.17,75,1603231215
ponta do sol,PT,-17.1,32.67,66.2,63,3.36,20,1603231258
atuona,PF,-139.03,-9.8,77.88,73,17.31,3,1603231213
necochea,AR,-58.74,-38.55,53.01,74,4.0,61,1603231307
hilo,US,-155.09,19.73,84.2,58,12.75,1,1603231220
bredasdorp,ZA,20.04,-34.53,46.4,87,1.12,0,1603231000
waingapu,ID,120.26,-9.66,79.12,74,2.8,47,1603231308
tasiilaq,GL,-37.64,65.61,33.8,59,19.46,100,1603231082
geraldton,AU,114.6,-28.77,64.4,77,12.75,75,1603231017
kloulklubed,PW,134.26,7.04,77.0,94,2.89,90,1603231308
new norfolk,AU,147.06,-42.78,57.99,62,2.77,97,1603231216
kruisfontein,ZA,24.73,-34.0,53.01,84,5.88,0,1603231242
rikitea,PF,-134.97,-23.12,73.6,79,14.65,0,1603231220
arraial do cabo,BR,-42.03,-22.97,75.2,78,20.8,1,1603231245
lunenburg,CA,-64.32,44.38,60.01,89,8.59,98,1603231308
port lavaca,US,-96.63,28.61,86.0,55,13.87,1,1603231293
sebrovo,RU,43.3,50.1,42.01,63,8.01,34,1603231308
faanui,PF,-151.75,-16.48,78.94,81,17.25,43,1603231052
prince rupert,CA,-130.32,54.32,42.8,93,8.05,90,1603231058
norman wells,CA,-126.83,65.28,21.2,85,12.75,75,1603231300
sur,OM,59.53,22.57,73.15,67,6.15,0,1603231309
punta arenas,CL,-70.92,-53.15,48.2,45,16.11,75,1603230929
london,GB,-0.13,51.51,60.8,82,9.17,20,1603231130
yellowknife,CA,-114.35,62.46,28.0,68,8.05,75,1603231217
beyneu,KZ,55.2,45.32,44.78,67,10.07,19,1603231309
vestmannaeyjar,IS,-20.27,63.44,38.05,73,9.06,95,1603231255
avarua,CK,-159.78,-21.21,77.0,88,4.7,36,1603231246
tuktoyaktuk,CA,-133.04,69.45,23.0,85,17.22,90,1603231311
miri,MY,114.01,4.41,73.4,100,2.24,20,1603231094
busselton,AU,115.33,-33.65,48.99,93,6.85,0,1603230981
the valley,AI,-63.06,18.22,84.2,74,5.82,20,1603231311
padang,ID,100.35,-0.95,78.75,73,4.25,84,1603231311
thinadhoo,MV,72.93,0.53,82.54,77,13.56,96,1603231311
vaini,TO,-175.2,-21.2,77.0,61,10.29,75,1603231218
faya,SA,42.45,18.39,60.8,19,6.93,0,1603231290
saint-philippe,RE,55.77,-21.36,71.6,60,8.05,20,1603231207
